Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-kernel_256,RAJA_HIP-launch_256
2496,177.9,8.70866,171.408,173.971
9792,302.734,8.592105,290.53249999999997,312.427
38784,427.568,8.47555,409.657,450.883
77568,445.435,8.41261,464.379,517.889
154944,667.919,8.38568,580.054,664.319
309696,785.409,8.37555,682.903,785.988
619392,888.12,8.31775,743.546,878.867
1238784,913.079,8.31775,749.416,894.681
2477568,934.653,8.30493,767.18,914.626
3629184,949.809,8.30493,776.856,924.21
4954944,955.521,8.22013,776.856,938.802
7258176,956.6675,8.214224999999999,779.508,943.249
9677568,957.814,8.20832,776.856,947.696
